scenario_key,scenario_label,capacity_pct,tail_issuance_atho_per_year,annual_fee_pool_atho,annual_burn_atho,annual_miner_fee_atho,annual_miner_total_atho,income_delta_vs_no_burn_same_capacity_atho,breakeven_price_lift_vs_no_burn_same_capacity_pct,income_delta_vs_no_burn_100_atho,breakeven_price_lift_vs_no_burn_100_pct
no_burn_100,No Burn (100% block capacity),100.0000,51328.12500000,459900.00000000,0E-8,459900.00000000,511228.12500000,0E-8,0E-8,0E-8,0E-8
burn_25,Burn On (25% block capacity),25.0000,51328.12500000,114975.00000000,51738.75000000,63236.25000000,114564.37500000,51738.75000000,45.16129032,396663.75000000,346.23655914
burn_50,Burn On (50% block capacity),50.0000,51328.12500000,229950.00000000,103477.50000000,126472.50000000,177800.62500000,103477.50000000,58.19861432,333427.50000000,187.52886836
burn_75,Burn On (75% block capacity),75.0000,51328.12500000,344925.00000000,155216.25000000,189708.75000000,241036.87500000,155216.25000000,64.39522998,270191.25000000,112.09540034
burn_100,Burn On (100% block capacity),100.0000,51328.12500000,459900.00000000,206955.00000000,252945.00000000,304273.12500000,206955.00000000,68.01619433,206955.00000000,68.01619433
