scenario_key,scenario_label,evaluation_year,circulating_supply_atho,protocol_net_change_atho_per_year,loss_rate_pct,annual_lost_atho,net_after_loss_atho_per_year,mode
burn_100,Burn On (100% block capacity),25,99273437.50000000,-93540.37500000,1.0000,992734.37500000,-1086274.75000000,deflationary
burn_100,Burn On (100% block capacity),25,99273437.50000000,-93540.37500000,1.5000,1489101.56250000,-1582641.93750000,deflationary
burn_100,Burn On (100% block capacity),50,98106536.25000000,-93540.37500000,0.5000,490532.68125000,-584073.05625000,deflationary
burn_100,Burn On (100% block capacity),50,98106536.25000000,-93540.37500000,1.0000,981065.36250000,-1074605.73750000,deflationary
burn_100,Burn On (100% block capacity),50,98106536.25000000,-93540.37500000,1.5000,1471598.04375000,-1565138.41875000,deflationary
burn_100,Burn On (100% block capacity),100,93429517.50000000,-93540.37500000,0.5000,467147.58750000,-560687.96250000,deflationary
burn_100,Burn On (100% block capacity),100,93429517.50000000,-93540.37500000,1.0000,934295.17500000,-1027835.55000000,deflationary
burn_100,Burn On (100% block capacity),100,93429517.50000000,-93540.37500000,1.5000,1401442.76250000,-1494983.13750000,deflationary
burn_100,Burn On (100% block capacity),250,79398461.25000000,-93540.37500000,0.5000,396992.30625000,-490532.68125000,deflationary
burn_100,Burn On (100% block capacity),250,79398461.25000000,-93540.37500000,1.0000,793984.61250000,-887524.98750000,deflationary
burn_100,Burn On (100% block capacity),250,79398461.25000000,-93540.37500000,1.5000,1190976.91875000,-1284517.29375000,deflationary
