scenario_key,scenario_label,year,end_height,burn_active,capacity_pct,reward_per_block_atho,annual_issuance_atho,annual_fees_total_atho,annual_burn_atho,annual_miner_fees_atho,annual_miner_revenue_atho,cumulative_emitted_atho,cumulative_burned_atho,circulating_supply_atho,annual_net_change_atho,annual_net_rate_pct,tx_per_block_est,tps_est
no_burn_100,No Burn (100% block capacity),15,3941999,0,100.0000,2.50000000,657000.00000000,147825.00000000,0E-8,147825.00000000,804825.00000000,23045000.00000000,0E-8,23045000.00000000,657000.00000000,2.93460783,4416,36.80000000
no_burn_100,No Burn (100% block capacity),16,4204799,0,100.0000,1.25000000,328500.00000000,147825.00000000,0E-8,147825.00000000,476325.00000000,23373500.00000000,0E-8,23373500.00000000,328500.00000000,1.42547190,4416,36.80000000
no_burn_100,No Burn (100% block capacity),17,4467599,0,100.0000,1.25000000,328500.00000000,147825.00000000,0E-8,147825.00000000,476325.00000000,23702000.00000000,0E-8,23702000.00000000,328500.00000000,1.40543778,4416,36.80000000
no_burn_100,No Burn (100% block capacity),18,4730399,0,100.0000,1.25000000,328500.00000000,147825.00000000,0E-8,147825.00000000,476325.00000000,24030500.00000000,0E-8,24030500.00000000,328500.00000000,1.38595899,4416,36.80000000
no_burn_100,No Burn (100% block capacity),19,4993199,0,100.0000,1.25000000,328500.00000000,147825.00000000,0E-8,147825.00000000,476325.00000000,24359000.00000000,0E-8,24359000.00000000,328500.00000000,1.36701275,4416,36.80000000
no_burn_100,No Burn (100% block capacity),20,5255999,0,100.0000,1.25000000,328500.00000000,147825.00000000,0E-8,147825.00000000,476325.00000000,24687500.00000000,0E-8,24687500.00000000,328500.00000000,1.34857753,4416,36.80000000
no_burn_100,No Burn (100% block capacity),21,5518799,0,100.0000,0.62500000,164250.00000000,147825.00000000,0E-8,147825.00000000,312075.00000000,24851750.00000000,0E-8,24851750.00000000,164250.00000000,0.66531646,4416,36.80000000
no_burn_100,No Burn (100% block capacity),22,5781599,0,100.0000,0.62500000,164250.00000000,147825.00000000,0E-8,147825.00000000,312075.00000000,25016000.00000000,0E-8,25016000.00000000,164250.00000000,0.66091925,4416,36.80000000
no_burn_100,No Burn (100% block capacity),23,6044399,0,100.0000,0.62500000,164250.00000000,147825.00000000,0E-8,147825.00000000,312075.00000000,25180250.00000000,0E-8,25180250.00000000,164250.00000000,0.65657979,4416,36.80000000
no_burn_100,No Burn (100% block capacity),24,6307199,0,100.0000,0.62500000,164250.00000000,147825.00000000,0E-8,147825.00000000,312075.00000000,25344500.00000000,0E-8,25344500.00000000,164250.00000000,0.65229694,4416,36.80000000
no_burn_100,No Burn (100% block capacity),25,6569999,0,100.0000,0.62500000,164250.00000000,147825.00000000,0E-8,147825.00000000,312075.00000000,25508750.00000000,0E-8,25508750.00000000,164250.00000000,0.64806960,4416,36.80000000
no_burn_100,No Burn (100% block capacity),26,6832799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,25590875.00000000,0E-8,25590875.00000000,82125.00000000,0.32194835,4416,36.80000000
no_burn_100,No Burn (100% block capacity),27,7095599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,25673000.00000000,0E-8,25673000.00000000,82125.00000000,0.32091517,4416,36.80000000
no_burn_100,No Burn (100% block capacity),28,7358399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,25755125.00000000,0E-8,25755125.00000000,82125.00000000,0.31988860,4416,36.80000000
no_burn_100,No Burn (100% block capacity),29,7621199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,25837250.00000000,0E-8,25837250.00000000,82125.00000000,0.31886857,4416,36.80000000
no_burn_100,No Burn (100% block capacity),30,7883999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,25919375.00000000,0E-8,25919375.00000000,82125.00000000,0.31785503,4416,36.80000000
no_burn_100,No Burn (100% block capacity),31,8146799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26001500.00000000,0E-8,26001500.00000000,82125.00000000,0.31684792,4416,36.80000000
no_burn_100,No Burn (100% block capacity),32,8409599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26083625.00000000,0E-8,26083625.00000000,82125.00000000,0.31584716,4416,36.80000000
no_burn_100,No Burn (100% block capacity),33,8672399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26165750.00000000,0E-8,26165750.00000000,82125.00000000,0.31485271,4416,36.80000000
no_burn_100,No Burn (100% block capacity),34,8935199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26247875.00000000,0E-8,26247875.00000000,82125.00000000,0.31386450,4416,36.80000000
no_burn_100,No Burn (100% block capacity),35,9197999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26330000.00000000,0E-8,26330000.00000000,82125.00000000,0.31288247,4416,36.80000000
no_burn_100,No Burn (100% block capacity),36,9460799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26412125.00000000,0E-8,26412125.00000000,82125.00000000,0.31190657,4416,36.80000000
no_burn_100,No Burn (100% block capacity),37,9723599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26494250.00000000,0E-8,26494250.00000000,82125.00000000,0.31093674,4416,36.80000000
no_burn_100,No Burn (100% block capacity),38,9986399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26576375.00000000,0E-8,26576375.00000000,82125.00000000,0.30997292,4416,36.80000000
no_burn_100,No Burn (100% block capacity),39,10249199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26658500.00000000,0E-8,26658500.00000000,82125.00000000,0.30901506,4416,36.80000000
no_burn_100,No Burn (100% block capacity),40,10511999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26740625.00000000,0E-8,26740625.00000000,82125.00000000,0.30806309,4416,36.80000000
no_burn_100,No Burn (100% block capacity),41,10774799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26822750.00000000,0E-8,26822750.00000000,82125.00000000,0.30711698,4416,36.80000000
no_burn_100,No Burn (100% block capacity),42,11037599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26904875.00000000,0E-8,26904875.00000000,82125.00000000,0.30617666,4416,36.80000000
no_burn_100,No Burn (100% block capacity),43,11300399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,26987000.00000000,0E-8,26987000.00000000,82125.00000000,0.30524208,4416,36.80000000
no_burn_100,No Burn (100% block capacity),44,11563199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27069125.00000000,0E-8,27069125.00000000,82125.00000000,0.30431319,4416,36.80000000
no_burn_100,No Burn (100% block capacity),45,11825999,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27151250.00000000,0E-8,27151250.00000000,82125.00000000,0.30338993,4416,36.80000000
no_burn_100,No Burn (100% block capacity),46,12088799,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27233375.00000000,0E-8,27233375.00000000,82125.00000000,0.30247226,4416,36.80000000
no_burn_100,No Burn (100% block capacity),47,12351599,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27315500.00000000,0E-8,27315500.00000000,82125.00000000,0.30156013,4416,36.80000000
no_burn_100,No Burn (100% block capacity),48,12614399,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27397625.00000000,0E-8,27397625.00000000,82125.00000000,0.30065348,4416,36.80000000
no_burn_100,No Burn (100% block capacity),49,12877199,0,100.0000,0.31250000,82125.00000000,147825.00000000,0E-8,147825.00000000,229950.00000000,27479750.00000000,0E-8,27479750.00000000,82125.00000000,0.29975226,4416,36.80000000
